Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;Eddie;#M28TN;170;409;400;;5cfd74ad988f3ff2ebc65e08;8903981;2019-07-06 15:58;NL Hold'em;2;
2;FUCK IM DOWN SO MUCH;#1S8W8;389;-315;1300;;;;;;;
3;King6D;#75LHN;119;-91;300;;;;;;;
4;DukeKeith;#8NNB0;272;322;200;;;;;;;
5;Ben Bae;#8CVQF;206;407;200;;;;;;;
6;shocka;#AU0T6;144;-500;500;;;;;;;
7;Minjae;#WPEHN;199;-400;400;;;;;;;
8;nkli;#VSVHC;319;1063;1850;;;;;;;
9;Captainrook;#KAVY7;290;-1100;1100;;;;;;;
10;Shrootz;#ESL0T;64;400;150;;;;;;;
11;Bullish;#27W7H;246;393;600;;;;;;;
12;MADMAN;#NXAZ3;244;-313;800;;;;;;;
13;Brandon Zheng;#SXRVS;0;0;150;;;;;;;
14;moby dick;#N24XP;166;-200;200;;;;;;;
15;Jakep;#7PMKY;10;-75;200;;;;;;;
