Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;Minjae;#WPEHN;578;1023;150;;5cfd74ad988f3ff2ebc65e08;2034634;2019-07-02 22:25;NL Hold'em;2;
2;Bullish;#27W7H;303;-13;400;;;;;;;
3;nkli;#VSVHC;264;-43;500;;;;;;;
4;Jae;#N24XP;489;-825;1000;;;;;;;
5;shocka;#AU0T6;426;50;400;;;;;;;
6;Eddie;#M28TN;480;-655;850;;;;;;;
7;ming l33;#FV0CJ;497;82;520;;;;;;;
8;Jakep;#7PMKY;235;520;200;;;;;;;
9;Brandon Zheng;#SXRVS;343;26;500;;;;;;;
10;DukeKeith;#8NNB0;238;-200;200;;;;;;;
11;MADMAN;#NXAZ3;176;41;350;;;;;;;
12;FUCK IM DOWN SO MUCH;#1S8W8;107;-6;1000;;;;;;;
