Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;nkli;#VSVHC;350;34;550;;5cfd74ad988f3ff2ebc65e08;5111206;2019-07-05 02:33;NL Hold'em;2;
2;Bullish;#27W7H;190;-381;800;;;;;;;
3;Minjae;#WPEHN;259;321;300;;;;;;;
4;Ben Bae;#8CVQF;182;-33;200;;;;;;;
5;Leonardo Gavaudan;#JU9BW;343;96;750;;;;;;;
6;Jae;#N24XP;190;-200;200;;;;;;;
7;Eddie;#M28TN;110;75;250;;;;;;;
8;shocka;#AU0T6;104;117;200;;;;;;;
9;Jakep;#7PMKY;17;-182;300;;;;;;;
10;Captainrook;#KAVY7;10;103;200;;;;;;;
11;FUCK IM DOWN SO MUCH;#1S8W8;29;38;200;;;;;;;
12;King6D;#75LHN;30;12;150;;;;;;;
