Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;dogplayer1;#VSVHC;392;-528;1480;;5cfd74ad988f3ff2ebc65e08;7424060;2019-07-14 19:12;NL Hold'em;2;
2;MADMAN;#NXAZ3;615;-616;2195;;;;;;;
3;LinusFangirl2019;#DV419;650;-804;1483;;;;;;;
4;Bullish;#27W7H;184;80;400;;;;;;;
5;shocka;#AU0T6;471;-500;500;;;;;;;
6;Eddie;#M28TN;557;140;500;;;;;;;
7;moby dick;#N24XP;681;515;200;;;;;;;
8;Vignesh Valliyur;#CJ8XJ;88;2;800;;;;;;;
9;í ½íº€í ½íº€í ½íº€í ½íº€;#1S8W8;545;524;200;;;;;;;
10;í ½í°Ÿí ½í°Ÿí ½í°Ÿí ½í°Ÿ;#WPEHN;538;687;600;;;;;;;
11;Fibonacci666;#JU9BW;559;407;910;;;;;;;
12;DukeKeith;#8NNB0;682;299;400;;;;;;;
13;Brandon Zheng;#SXRVS;142;-263;650;;;;;;;
14;King6D;#75LHN;79;57;480;;;;;;;
