Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;nkli;#VSVHC;253;-365;1702;;5cfd74ad988f3ff2ebc65e08;4514941;2019-07-07 17:56;NL Hold'em;2;
2;Eddie;#M28TN;410;-549;1000;;;;;;;
3;DukeKeith;#8NNB0;515;307;1000;;;;;;;
4;Bullish;#27W7H;100;-51;200;;;;;;;
5;FUCK IM DOWN SO MUCH;#1S8W8;534;-853;2100;;;;;;;
6;Minjae;#WPEHN;536;2018;600;;;;;;;
7;ming l33;#FV0CJ;454;1180;1500;;;;;;;
8;OtB_RedBacon;#0A3X7;61;-166;600;;;;;;;
9;Captainrook;#KAVY7;352;-3704;4980;;;;;;;
10;Brandon Zheng;#SXRVS;323;667;300;;;;;;;
11;MADMAN;#NXAZ3;84;185;1150;;;;;;;
12;Fibonacci666;#JU9BW;323;76;1250;;;;;;;
13;shocka;#AU0T6;140;614;200;;;;;;;
14;Ben Bae;#8CVQF;99;-200;200;;;;;;;
15;King6D;#75LHN;194;877;600;;;;;;;
16;Shrootz;#ESL0T;44;-200;200;;;;;;;
17;patfish;#9RDUK;60;164;200;;;;;;;
