Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;ming l33;#FV0CJ;206;585;800;;5cfd74ad988f3ff2ebc65e08;8907583;2019-07-11 20:25;NL Hold'em;2;
2;Bullish;#27W7H;202;305;600;;;;;;;
3;Fibonacci666;#JU9BW;140;199;150;;;;;;;
4;dogplayer1;#VSVHC;246;178;1300;;;;;;;
5;Eddie;#M28TN;195;52;300;;;;;;;
6;í ½í°Ÿí ½í°Ÿí ½í°Ÿí ½í°Ÿ;#WPEHN;326;10;200;;;;;;;
7;DukeKeith;#8NNB0;92;8;200;;;;;;;
8;í ½íº€í ½íº€í ½íº€í ½íº€;#1S8W8;12;-13;200;;;;;;;
9;Vignesh Valliyur;#CJ8XJ;127;-52;600;;;;;;;
10;King6D;#75LHN;189;-450;450;;;;;;;
11;Brandon Zheng;#SXRVS;374;-822;1200;;;;;;;
