Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;Bullish;#27W7H;345;-129;800;;5cfd74ad988f3ff2ebc65e08;1256819;2019-07-09 00:17;NL Hold'em;2;
2;Minjae;#WPEHN;484;-803;932;;;;;;;
3;Fibonacci666;#JU9BW;398;512;150;;;;;;;
4;FREE FLACKO;#FV0CJ;177;36;200;;;;;;;
5;shocka;#AU0T6;297;198;326;;;;;;;
6;Eddie;#M28TN;345;-374;500;;;;;;;
7;í ½íº€í ½íº€í ½íº€í ½íº€;#1S8W8;84;4;536;;;;;;;
8;King6D;#75LHN;46;269;150;;;;;;;
9;DukeKeith;#8NNB0;270;-60;400;;;;;;;
10;MADMAN;#NXAZ3;118;230;275;;;;;;;
11;dogplayer1;#VSVHC;140;-61;700;;;;;;;
12;Vignesh Valliyur;#CJ8XJ;187;424;200;;;;;;;
13;Brandon Zheng;#SXRVS;182;-246;502;;;;;;;
