Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;LinusFangirl2019;#DV419;458;1294;800;;5cfd74ad988f3ff2ebc65e08;9503314;2019-07-15 22:34;NL Hold'em;2;
2;Runnerunner;#CJ8XJ;374;-735;1742;;;;;;;
3;ming l33;#FV0CJ;195;937;400;;;;;;;
4;Bullish;#27W7H;197;260;500;;;;;;;
5;í ½íº€í ½íº€í ½íº€í ½íº€;#1S8W8;480;-402;1000;;;;;;;
6;í ½í°Ÿí ½í°Ÿí ½í°Ÿí ½í°Ÿ;#WPEHN;531;-2500;2500;;;;;;;
7;moby dick;#N24XP;184;445;400;;;;;;;
8;Eddie;#M28TN;235;161;200;;;;;;;
9;MADMAN;#NXAZ3;269;167;850;;;;;;;
10;themilkachoc;#PGRK1;107;561;500;;;;;;;
11;Brandon Zheng;#SXRVS;331;-51;1000;;;;;;;
12;Fibonacci666;#JU9BW;166;300;220;;;;;;;
13;DukeKeith;#8NNB0;74;-540;800;;;;;;;
14;dogplayer1;#VSVHC;259;-442;1462;;;;;;;
15;King6D;#75LHN;48;545;200;;;;;;;
