Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;King6D;#75LHN;71;231;300;;5cfd74ad988f3ff2ebc65e08;6064420;2019-07-13 01:39;NL Hold'em;2;
2;DukeKeith;#8NNB0;94;71;400;;;;;;;
3;Ben Bae;#8CVQF;154;47;600;;;;;;;
4;shocka;#AU0T6;154;94;200;;;;;;;
5;ming l33;#FV0CJ;211;-180;400;;;;;;;
6;LinusFangirl2019;#DV419;2;-3;400;;;;;;;
7;Eddie;#M28TN;45;107;200;;;;;;;
8;MADMAN;#NXAZ3;167;-300;300;;;;;;;
9;í ½í°Ÿí ½í°Ÿí ½í°Ÿí ½í°Ÿ;#WPEHN;145;-138;300;;;;;;;
10;Sam Blumenfeld;#QJ7TP;49;-200;200;;;;;;;
11;í ½íº€í ½íº€í ½íº€í ½íº€;#1S8W8;30;242;196;;;;;;;
12;Vignesh Valliyur;#CJ8XJ;80;14;1000;;;;;;;
13;dogplayer1;#VSVHC;62;15;600;;;;;;;
