Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;Vignesh Valliyur;#CJ8XJ;431;-51;600;;5cfd74ad988f3ff2ebc65e08;9059100;2019-07-14 04:13;NL Hold'em;2;
2;shocka;#AU0T6;497;-184;300;;;;;;;
3;í ½í°Ÿí ½í°Ÿí ½í°Ÿí ½í°Ÿ;#WPEHN;426;228;200;;;;;;;
4;Bullish;#27W7H;321;-39;400;;;;;;;
5;í ½íº€í ½íº€í ½íº€í ½íº€;#1S8W8;326;-40;419;;;;;;;
6;LinusFangirl2019;#DV419;131;-94;598;;;;;;;
7;DukeKeith;#8NNB0;133;-148;300;;;;;;;
8;Fibonacci666;#JU9BW;114;187;200;;;;;;;
9;Eddie;#M28TN;24;91;200;;;;;;;
10;dogplayer1;#VSVHC;29;50;300;;;;;;;
