Rank;Player;ID;Hands;Profit;BuyIn;Tips;ClubID;GameCode;DateStarted;GameType;BigBlind;TotalTips
1;ming l33;#FV0CJ;34;47;400;;5cfd74ad988f3ff2ebc65e08;5326565;2019-07-07 00:53;NL Hold'em;2;
2;FUCK IM DOWN SO MUCH;#1S8W8;203;-116;800;;;;;;;
3;Bullish;#27W7H;95;-359;600;;;;;;;
4;DukeKeith;#8NNB0;308;296;200;;;;;;;
5;shocka;#AU0T6;242;153;320;;;;;;;
6;moby dick;#N24XP;168;1200;400;;;;;;;
7;MADMAN;#NXAZ3;201;548;700;;;;;;;
8;Minjae;#WPEHN;250;-322;400;;;;;;;
9;Jakep;#7PMKY;60;-262;400;;;;;;;
10;Brandon Zheng;#SXRVS;18;-9;200;;;;;;;
11;Ben Bae;#8CVQF;104;-400;400;;;;;;;
12;Captainrook;#KAVY7;46;-1135;1300;;;;;;;
13;Shrootz;#ESL0T;32;63;200;;;;;;;
14;Eddie;#M28TN;101;296;400;;;;;;;
